id,比赛时间,必发交易量,更新时间差_小时,必发更新时间
"2337136	2025-01-05 22:30:00	25854	2337136	0	2025-01-05 21:50:08",,,,
"2337136	2025-01-05 22:30:00	167225	2337136	0	2025-01-05 22:20:09",,,,
"2337136	2025-01-05 22:30:00	22625	2337136	1	2025-01-05 20:50:09",,,,
"2337136	2025-01-05 22:30:00	23685	2337136	1	2025-01-05 21:20:11",,,,
"2337136	2025-01-05 22:30:00	19905	2337136	2	2025-01-05 19:50:09",,,,
"2337136	2025-01-05 22:30:00	21151	2337136	2	2025-01-05 20:20:08",,,,
"2337136	2025-01-05 22:30:00	19592	2337136	3	2025-01-05 18:50:09",,,,
"2337136	2025-01-05 22:30:00	19806	2337136	3	2025-01-05 19:20:08",,,,
"2337136	2025-01-05 22:30:00	18759	2337136	4	2025-01-05 17:50:09",,,,
"2337136	2025-01-05 22:30:00	19326	2337136	4	2025-01-05 18:20:08",,,,
"2337136	2025-01-05 22:30:00	18431	2337136	5	2025-01-05 16:50:09",,,,
"2337136	2025-01-05 22:30:00	18759	2337136	5	2025-01-05 17:20:08",,,,
"2337136	2025-01-05 22:30:00	17996	2337136	6	2025-01-05 15:50:09",,,,
"2337136	2025-01-05 22:30:00	18045	2337136	6	2025-01-05 16:20:09",,,,
"2337136	2025-01-05 22:30:00	17958	2337136	7	2025-01-05 14:50:09",,,,
"2337136	2025-01-05 22:30:00	17958	2337136	7	2025-01-05 15:20:10",,,,
"2337136	2025-01-05 22:30:00	15415	2337136	8	2025-01-05 13:50:07",,,,
"2337136	2025-01-05 22:30:00	16648	2337136	8	2025-01-05 14:20:08",,,,
"2337136	2025-01-05 22:30:00	3566	2337136	9	2025-01-05 12:50:07",,,,
"2337136	2025-01-05 22:30:00	15415	2337136	9	2025-01-05 13:20:07",,,,
"2337136	2025-01-05 22:30:00	3485	2337136	10	2025-01-05 11:50:08",,,,
"2337136	2025-01-05 22:30:00	3485	2337136	10	2025-01-05 12:20:06",,,,
"2337130	2025-01-04 22:30:00	9728	2337130	0	2025-01-04 21:50:10",,,,
"2337130	2025-01-04 22:30:00	201200	2337130	0	2025-01-04 22:20:10",,,,
"2337130	2025-01-04 22:30:00	7310	2337130	1	2025-01-04 20:50:11",,,,
"2337130	2025-01-04 22:30:00	9514	2337130	1	2025-01-04 21:20:13",,,,
"2337130	2025-01-04 22:30:00	6628	2337130	2	2025-01-04 19:50:11",,,,
"2337130	2025-01-04 22:30:00	7005	2337130	2	2025-01-04 20:20:12",,,,
"2337130	2025-01-04 22:30:00	5769	2337130	3	2025-01-04 18:50:13",,,,
"2337130	2025-01-04 22:30:00	5881	2337130	3	2025-01-04 19:20:11",,,,
"2337130	2025-01-04 22:30:00	5162	2337130	4	2025-01-04 17:50:12",,,,
