rule,class,confidence,group
first_lose_odds_of24h > 2.27 AND draw_odds_of24h_up_num <= 1.50 AND win_odds_of24h_change_num_rank <= 1.50,2.0,0.5,8
first_lose_odds_of24h > 2.27 AND draw_odds_of24h_up_num <= 1.50 AND win_odds_of24h_change_num_rank > 1.50,0.0,0.36,8
first_lose_odds_of24h > 2.27 AND draw_odds_of24h_up_num > 1.50,2.0,0.6481481481481481,8
first_win_odds_of24h <= 2.25 AND lose_odds_of24h_change_num <= 3.50,2.0,0.40384615384615385,9
first_win_odds_of24h <= 2.25 AND lose_odds_of24h_change_num > 3.50,2.0,0.6111111111111112,9
lose_odds_of24h_delta <= 0.09 AND win_odds_of24h_stable_num <= 0.50,0.0,0.5660377358490566,10
lose_odds_of24h_delta <= 0.09 AND win_odds_of24h_stable_num > 0.50,2.0,0.41509433962264153,10
first_draw_odds_of24h <= 3.93 AND draw_odds_of24h_delta <= -0.03,1.0,0.4411764705882353,12
first_draw_odds_of24h <= 3.93 AND draw_odds_of24h_delta > -0.03 AND first_win_odds_of24h <= 2.20,2.0,0.43157894736842106,12
first_draw_odds_of24h <= 3.93 AND draw_odds_of24h_delta > -0.03 AND first_win_odds_of24h > 2.20,0.0,0.46551724137931033,12
first_win_odds_of24h > 1.92 AND last_lose_odds_of24h <= 2.29,0.0,0.6428571428571429,14
first_win_odds_of24h > 1.92 AND last_lose_odds_of24h > 2.29,2.0,0.36764705882352944,14
first_lose_odds_of24h <= 3.38 AND win_odds_of24h_change_num <= 3.50,2.0,0.42592592592592593,19
first_lose_odds_of24h <= 3.38 AND win_odds_of24h_change_num > 3.50,0.0,0.45614035087719296,19
last_win_odds_of24h <= 2.76 AND last_lose_odds_of24h <= 3.07,2.0,0.390625,23
last_win_odds_of24h <= 2.76 AND last_lose_odds_of24h > 3.07 AND lose_odds_of24h_stable_num_rank <= 2.50,2.0,0.5692307692307692,23
last_win_odds_of24h <= 2.76 AND last_lose_odds_of24h > 3.07 AND lose_odds_of24h_stable_num_rank > 2.50,2.0,0.6721311475409836,23
last_lose_odds_of24h <= 2.25 AND first_win_odds_of24h <= 4.97,0.0,0.48484848484848486,25
last_lose_odds_of24h <= 2.25 AND first_win_odds_of24h > 4.97,0.0,0.8400000000000001,25
last_lose_odds_of24h > 2.25 AND last_draw_odds_of24h <= 3.68 AND win_odds_of24h_delta <= 0.01,1.0,0.4230769230769231,25
last_lose_odds_of24h > 2.25 AND last_draw_odds_of24h <= 3.68 AND win_odds_of24h_delta > 0.01,0.0,0.4262295081967213,25
